,057x025,094x008
ACBD5,0.426348547717842,0.427385892116183
ACOT11,0.426348547717842,0.427385892116183
ACTN2,0.426348547717842,0.427385892116183
AQP3,0.426348547717842,0.427385892116183
BIN2,0.426348547717842,0.427385892116183
BTN2A2,0.426348547717842,0.427385892116183
C1QA,0.426348547717842,0.427385892116183
CCL8,0.856846473029046,0.91804979253112
CCND1,0.993775933609959,0.991701244813278
CD274,0.977178423236514,0.975103734439834
CD83,0.877593360995851,0.913900414937759
CD9,0.426348547717842,0.427385892116183
CEACAM6,0.939834024896266,0.932572614107884
CLEC7A,0.426348547717842,0.427385892116183
CNTNAP3B,0.426348547717842,0.427385892116183
COL8A1,0.426348547717842,0.427385892116183
CTLA4,0.919087136929461,0.946058091286307
CTSW,0.877593360995851,0.863070539419087
CXADR,0.426348547717842,0.427385892116183
CXCL11,0.934647302904564,0.983402489626556
CXCL13,0.922199170124481,0.978215767634855
CXCL6,0.896265560165975,0.894190871369295
CXCL9,0.95850622406639,0.981327800829875
CYP2C18,0.426348547717842,0.427385892116183
DLL4,0.426348547717842,0.427385892116183
DNAJC6,0.426348547717842,0.427385892116183
ECSCR,0.896265560165975,0.927385892116183
EGLN3,0.426348547717842,0.427385892116183
EOMES,0.856846473029046,0.879668049792531
EPB41L3,0.426348547717842,0.427385892116183
EREG,0.426348547717842,0.427385892116183
ETV7,0.426348547717842,0.427385892116183
EZH2,0.426348547717842,0.427385892116183
FASLG,0.884854771784232,0.883817427385892
FBXO6,0.426348547717842,0.427385892116183
FCRL6,0.426348547717842,0.427385892116183
FEZ2,0.426348547717842,0.427385892116183
FUT9,0.426348547717842,0.427385892116183
GEM,0.426348547717842,0.427385892116183
GNLY,0.925311203319502,0.868257261410788
GPR171,0.896265560165975,0.924273858921162
GZMB,0.941908713692946,0.921161825726141
GZMH,0.867219917012448,0.883817427385892
HAPLN3,0.426348547717842,0.427385892116183
HMGCS2,0.426348547717842,0.427385892116183
HS3ST1,0.426348547717842,0.427385892116183
ID1,0.867219917012448,0.863070539419087
IDO1,0.995850622406639,0.995850622406639
IFNG,0.426348547717842,0.427385892116183
ITM2B,0.426348547717842,0.427385892116183
KHK,0.426348547717842,0.427385892116183
LAG3,0.877593360995851,0.894190871369295
LILRA2,0.426348547717842,0.427385892116183
LILRB3,0.426348547717842,0.427385892116183
LILRB4,0.426348547717842,0.87448132780083
LPAR1,0.426348547717842,0.427385892116183
LTA,0.426348547717842,0.427385892116183
LVRN,0.426348547717842,0.427385892116183
LY96,0.426348547717842,0.427385892116183
MAL2,0.426348547717842,0.427385892116183
MAP4K1,0.426348547717842,0.427385892116183
MAPKAPK2,0.426348547717842,0.427385892116183
MEST,0.987551867219917,0.978215767634855
MICAL2,0.426348547717842,0.427385892116183
MICB,0.426348547717842,0.427385892116183
MMP10,0.426348547717842,0.427385892116183
MYCT1,0.426348547717842,0.427385892116183
NFATC4,0.426348547717842,0.427385892116183
NUAK1,0.426348547717842,0.427385892116183
OSBPL1A,0.426348547717842,0.427385892116183
P4HB,0.426348547717842,0.427385892116183
PAQR5,0.426348547717842,0.427385892116183
PDCD1,0.884854771784232,0.855809128630705
PDE4B,0.426348547717842,0.427385892116183
PHEX,0.426348547717842,0.427385892116183
PLA2G2D,0.426348547717842,0.427385892116183
POMT1,0.426348547717842,0.427385892116183
PTHLH,0.426348547717842,0.427385892116183
RERG,0.426348547717842,0.427385892116183
RGS5,0.907676348547718,0.938796680497925
RPL14,0.426348547717842,0.427385892116183
RPL8,0.426348547717842,0.427385892116183
S1PR3,0.426348547717842,0.427385892116183
SCNM1,0.426348547717842,0.427385892116183
SDC4,0.426348547717842,0.427385892116183
SEMA3F,0.426348547717842,0.427385892116183
SERPINA3,0.426348547717842,0.427385892116183
SERPINB5,0.426348547717842,0.427385892116183
SET,0.426348547717842,0.427385892116183
SH3PXD2A,0.426348547717842,0.427385892116183
SIGLEC11,0.426348547717842,0.427385892116183
SIRPA,0.426348547717842,0.427385892116183
SIT1,0.426348547717842,0.427385892116183
SLC7A5,0.426348547717842,0.427385892116183
SNCG,0.929460580912863,0.909751037344398
SOX7,0.426348547717842,0.427385892116183
STAT1,0.991701244813278,0.993775933609959
SYPL1,0.426348547717842,0.427385892116183
TUBB2B,0.426348547717842,0.427385892116183
WFDC1,0.426348547717842,0.427385892116183
